id,revenue,production_companies
157849,31554855,Senator Film Produktion
284296,25434291,Paramount Pictures
239566,31911598,Universal Studios
282813,13865435,Fox International Productions
184346,0,Jerry Bruckheimer Films
246860,1554000,Pallas Film
245916,2450846,The Combine
157832,13287735,Octagon Films
273271,0,Uncooperative Pictures
245906,111996,Lagniappe Films
246741,0,Unison Films
276902,0,Kilburn Media
254191,9318,Fewlas Entertainment
209276,54915,Sigma Films Ltd.
253312,0,Rival Pictures
210479,4635300,IM Global
246400,0,British Film Institute (BFI)
227735,52424533,Alcon Entertainment
206821,0,Far Hills Pictures
252830,0,Hollywood Media Bridge
152790,0,Landscape Entertainment
244536,0,IFC Films
288158,26501323,Vertigo Entertainment
244517,169976,Cooper's Town Productions
203834,0,Lionsgate
145220,80383113,Buena Vista
290542,11486,DiNovi Pictures
239568,0,Universal Studios
258750,0,Maxam
297608,0,Bad Hat Harry Productions
246403,1826705,Phase 4 Films
243684,461162,Paramount Pictures
287426,0,Bifrost Pictures
303623,0,Home Box Office (HBO)
228496,0,La.Lune Entertainment
276843,0,BBC Films
269173,0,Unstoppable Entertainment
227300,0,Universal Pictures
286521,1020921,Revelations Entertainment
184345,0,Automatik Entertainment
271714,28641776,River Road Entertainment
236751,101332962,TriStar Pictures
251994,0,Windy Hill Pictures
256474,0,20th Century Fox Home Entertainment
243568,0,PeaceOut Productions
145221,0,International Traders
157823,0,Film Science
286875,0,Arenamedia
242022,0,Channel 4 Television Corporation
285733,0,Mattel Playground Productions
284294,0,KSM Film
293310,0,Participant Media
283227,0,BBC Films
214314,0,Disneynature
272692,0,Quickfire Films
287084,0,Blumhouse Productions
188207,61279452,Millennium Films
157851,1338365,Integral Film
254474,14947,BenderSpink
155084,0,Sahamongkol Film International
280000,0,Thirteen Disciples
253235,25312387,Castle Rock Entertainment
245700,5405500,Film4
258805,0,2DS Productions
286873,0,Jumping Horse Film
290555,0,Copperheart Entertainment
313867,0,British Broadcasting Corporation (BBC)
255798,0,Voltage Pictures
203739,0,Kintop Pictures
157829,985007,Myriad Pictures
244566,88273,Abbolita Productions
283686,0,Participant Media
245473,0,Blondie Girl Productions
250538,0,Alcon Entertainment
256731,0,Mandalay Vision
312791,0,Brookstreet Pictures
253272,0,Screen Australia
193726,7171,Magnet Releasing
248504,0,The Asylum
244268,2262223,Parts and Labor
267863,0,Vertigo Films
52653,149337,Exxodus Pictures
230266,5000000,Maipo Film- og TV Produksjon
261375,0,Kanakna Productions
190469,0,Wellington Films
259018,0,Mad Chance
259072,0,Constantin Film
284537,0,Gary Sanchez Productions
312526,0,Out of Africa Entertainment
258099,0,Coquette Productions
275060,0,Myriad Pictures
285843,0,Killer Films
250535,0,Film i Väst
243531,0,Envision Media Arts
277597,0,The Asylum
240916,0,Eagle Vision Inc.
254024,0,Revolution Films
239562,16337881,Lionsgate
244783,32251,Worldview Entertainment
250388,0,Boll Kino Beteiligungs GmbH & Co. KG
252171,395000,SpectreVision
253254,8251,Fuzzy Logic Pictures
210947,121179,Téléfilm Canada
254263,0,NEST Family Entertainment
235271,0,Lionsgate
241771,14618727,Relativity Media
259956,0,"Bedford Falls Company, The"
299582,0,Brad Krevoy Television
141043,7176347,BBC Films
298865,0,Goldrush Entertainment
266537,0,Artemis Film
228358,0,Preferred Film & TV
252680,10429707,TriStar Pictures
251519,0,DC Comics
238603,45300000,Walt Disney Studios Motion Pictures
259963,126150,Camellia Entertainment
270938,0,Strohberry Films
258086,0,Launchpad Productions
275318,0,The Asylum
245859,0,HanWay Films
256740,0,NAZZ Productions
249260,0,Odyssey Media
215379,0,Quickfire Films
293633,0,Twisted Pictures
297961,0,Ostar Productions
248774,3123963,Sundial Pictures
292177,0,DHX Media
242166,0,Aldamisa Entertainment
156597,0,Serendipity Point Films
313074,0,Vertigo Films
275985,0,"Asylum, The"
286654,0,Arclight Films
238475,0,Magnet Releasing
284536,39171130,Paramount Pictures
257447,0,Tapped Pictures
283691,0,Scott Free Productions
270005,0,Artina Films
254023,0,Ambi Pictures
208869,0,Gateway Films
268060,0,Pride of Gypsies
209185,3430018,Max Films Productions
282041,0,Fury Productions
157847,2365467,Worldview Entertainment
300706,0,Lost Rhino Films
265016,0,Twin Engine Films
146243,0,QED International
289314,0,Home Box Office (HBO)
254194,0,Dark Sky Films
261101,0,Bullet Films
253295,0,Revelin Studios
82657,0,Vertigo Entertainment
287415,0,Trancas International Films
259954,0,IFC Films
94590,0,Cinemassacre
199575,0,XYZ Films
174337,13769,Schorr Pictures
299939,0,Copperheart Entertainment
236399,0,Front Street Pictures
279171,0,Lifetime Television
271164,1009620,City on a Hill Productions
