id,popularity,revenue,keywords
246860,0.635214,1554000,suicide
245916,0.632048,2450846,biography
273271,0.628637,0,gambling
245906,0.623706,111996,infidelity
246741,0.622166,0,new zealand
276902,0.621645,0,montana
254191,0.615729,9318,lake
253312,0.609054,0,asteroid
210479,0.602735,4635300,england
246400,0.600919,0,woman director
227735,0.599079,52424533,dolphin
206821,0.593558,0,hotel
152790,0.59318,0,black comedy
244536,0.593065,0,woman director
288158,0.590257,26501323,based on novel
203834,0.582629,0,supernatural
145220,0.574398,80383113,musical
258750,0.560295,0,gun
297608,0.56021,0,snake
246403,0.559472,1826705,canada
243684,0.557453,461162,high school
287426,0.552627,0,homeless person
303623,0.550723,0,based on tv series
228496,0.550625,0,supernatural
276843,0.55046,0,vacation
269173,0.550453,0,technology
286521,0.548656,1020921,new york
184345,0.548529,0,haunted house
271714,0.5415,28641776,therapist
236751,0.540852,101332962,based on novel
251994,0.539017,0,motivational book
243568,0.535291,0,biography
145221,0.533347,0,monster
157823,0.5252,0,woman director
242022,0.519107,0,holiday
285733,0.518405,0,musical
284294,0.514113,0,new york
293310,0.512588,0,national security agency
283227,0.506605,0,paris
214314,0.502296,0,alaska
188207,0.49584,61279452,mythology
157851,0.495519,1338365,male nudity
254474,0.494022,14947,beaver
253235,0.485296,25312387,grandfather granddaughter relationship
245700,0.484272,5405500,painter
258805,0.481391,0,male nudity
290555,0.480194,0,adoption
313867,0.476645,0,london
203739,0.472703,0,authority
157829,0.472242,985007,new york
250538,0.461037,0,refugee
256731,0.46087,0,police
312791,0.460188,0,female nudity
253272,0.457089,0,drug mule
193726,0.453382,7171,anthology
248504,0.452644,0,sequel
244268,0.451125,2262223,homosexuality
267863,0.449196,0,woman director
230266,0.446458,5000000,love triangle
261375,0.445011,0,grandfather
190469,0.444337,0,gambling
259072,0.430844,0,cannibal
284537,0.430708,0,talk show
312526,0.430488,0,dystopia
258099,0.428819,0,suicide
275060,0.427602,0,new york
285843,0.421838,0,gunshot wound
250535,0.416516,0,santa claus
277597,0.413295,0,prison
240916,0.411465,0,district attorney
254024,0.409047,0,murder investigation
244783,0.407983,32251,woman director
250388,0.40674,0,hostage
252171,0.403579,395000,vampire
253254,0.269741,8251,based on short film
210947,0.401153,121179,found footage
254263,0.400689,0,princess
235271,0.399827,0,infidelity
241771,0.398601,14618727,talent
